case,scenario,harmonics,nodes,step,wall_mass,stiffness,initial_velocity,natural_separation,holding_mass,bare_inertia,status,final_time,final_separation,final_velocity,initial_interaction_energy,initial_single_wall_dressing,initial_quantum_force,min_total_inertia,max_abs_energy_balance_error,mode_normalization_error,max_excitation,min_excitation,max_abs_nonadiabatic_force,max_abs_field_energy_change,min_complete_regulated_energy,min_holding_energy_margin,initial_center_energy,initial_center_radial_enthalpy,max_step_iterations,elapsed_seconds,worker_peak_rss_kib
equilibrium_m16_k8_h0.02,equilibrium,16,8,0.02,1.0,0.5,0.0,1.068698317686568,2.88,0.74,duration_completed,3.0,0.9999999999998718,-1.01934195101241e-13,-0.010696382134710802,4.004348192630687,-0.03434915884328408,2.5946099806902634,2.2170709712554526e-11,1.949551631241775e-13,2.2396307031158358e-11,2.2737367544323206e-13,1.640493296761747e-13,2.2168933355715126e-11,12.87917986784013,2.846830705869902,-0.2762880486881656,-0.16573974841666939,1,0.48160060588270426,116224
equilibrium_m24_k12_h0.01,equilibrium,24,12,0.01,1.0,0.5,0.0,1.0676516725944318,2.88,0.74,duration_completed,2.9999999999999787,0.9999999999998531,-1.6403061339104718e-13,-0.00962581091289394,5.096864813035609,-0.03382583629721595,3.123197876854773,1.7285728404203837e-11,3.12194714524594e-13,1.7280399333685637e-11,-2.9558577807620168e-12,5.573874695130598e-13,1.7280399333685637e-11,15.065248002356572,2.8473183509039264,-0.19682283889309815,-0.26779249035072894,1,1.8921640375629067,124772
equilibrium_m32_k16_h0.005,equilibrium,32,16,0.005,1.0,0.5,0.0,1.0653759578447224,2.88,0.74,duration_completed,2.9999999999999574,0.9999999999998601,-1.7102198980057725e-13,-0.009181460696254362,5.93649179635554,-0.032687978922361194,3.5352707400525096,2.3417712213813502e-11,3.553823901825126e-13,-4.547473508864641e-13,-2.3874235921539366e-11,6.086658954629343e-13,2.3419488570652902e-11,16.744870635956982,2.848380525043607,-0.1373268556434084,-0.2512012472248841,1,8.947489806450903,139568
released_m16_k8_h0.02,released,16,8,0.02,1.0,0.0,0.0,1.0,0.0,0.5,duration_completed,3.0,0.9308819059174998,-0.04942436673098668,-0.010696382134710802,4.004348192630687,-0.03434915884328408,2.3537213535247066,3.978151141836861e-12,5.3512749786932545e-14,3.940372698707506e-05,2.2737367544323206e-13,0.0007590597750546726,0.0028761150156242365,9.998000003122911,0.0,-0.2762880486881656,-0.16573974841666939,6,1.4332437301054597,115628
released_m24_k12_h0.01,released,24,12,0.01,1.0,0.0,0.0,1.0,0.0,0.5,duration_completed,2.9999999999999787,0.945301175856132,-0.03832133958262431,-0.00962581091289394,5.096864813035609,-0.03382583629721595,2.8825842522972733,9.887202168101794e-12,8.104628079763643e-14,2.5678617475932697e-05,0.0,0.0005894664101595906,0.0021171565829263272,12.184103815157389,0.0,-0.19682283889309815,-0.26779249035072894,6,7.4348532212898135,127056
released_m32_k16_h0.005,released,32,16,0.005,1.0,0.0,0.0,1.0,0.0,0.5,duration_completed,2.9999999999999574,0.9540120516417773,-0.03197689265791928,-0.009181460696254362,5.93649179635554,-0.032687978922361194,3.2947902442102395,3.2235547564596345e-11,1.7630341631047486e-13,1.8281200482306303e-05,-4.547473508864641e-13,0.0005008710833221408,0.0016848201971697563,13.86380213201437,0.0,-0.1373268556434084,-0.2512012472248841,5,35.877695532515645,140008
released_light_m16_k8_h0.02,released_light,16,8,0.02,0.25,0.0,0.0,1.0,0.0,0.125,duration_completed,3.0,0.9168539905886837,-0.0604237061331029,-0.010696382134710802,4.004348192630687,-0.03434915884328408,1.9784930481137972,4.848565993142984e-12,4.796163466380676e-14,5.8962558114217245e-05,2.2737367544323206e-13,0.0009834421223153464,0.0036142374372047925,8.49800000312204,0.0,-0.2762880486881656,-0.16573974841666939,6,1.3996129892766476,124772
released_light_m24_k12_h0.01,released_light,24,12,0.01,0.25,0.0,0.0,1.0,0.0,0.125,duration_completed,2.9999999999999787,0.9367565659755108,-0.04468042432677116,-0.00962581091289394,5.096864813035609,-0.03382583629721595,2.507474572065483,6.888711823194171e-12,1.3233858453531866e-13,3.49096333138732e-05,0.0,0.0006766629915979927,0.002503823547385764,10.684103815155789,0.0,-0.19682283889309815,-0.26779249035072894,6,7.597639272920787,126116
released_light_m32_k16_h0.005,released_light,32,16,0.005,0.25,0.0,0.0,1.0,0.0,0.125,duration_completed,2.9999999999999574,0.9478916629979158,-0.03644967255850245,-0.009181460696254362,5.93649179635554,-0.032687978922361194,2.9197190729477374,2.6986413104168605e-11,1.7408297026122455e-13,2.3752986407998833e-05,-4.547473508864641e-13,0.0005645628047152851,0.0019400214446250175,12.363802132010377,0.0,-0.1373268556434084,-0.2512012472248841,5,36.882551327347755,140424
moving_held_m16_k8_h0.02,moving_held,16,8,0.02,1.0,0.5,0.02,1.068698317686568,2.88,0.74,duration_completed,3.0,1.0486012673595506,0.00933546997028398,-0.010696382134710802,4.004348192630687,-0.03434744134240331,2.5946099806902634,1.0191847366058937e-11,7.527312106958561e-14,1.8873174440159346e-05,1.1294787327642553e-09,0.005431205210403009,0.0014847727636606578,12.879698828758663,2.846830705869957,-0.27629587790593746,-0.16573974841666583,6,1.4281518021598458,139568
moving_held_m24_k12_h0.01,moving_held,24,12,0.01,1.0,0.5,0.02,1.0676516725944318,2.88,0.74,duration_completed,2.9999999999999787,1.0501487999406396,0.010798660163161986,-0.00962581091289394,5.096864813035609,-0.03382414496311668,3.1231978768548236,7.601030915793672e-12,8.038014698286133e-14,1.9890810563083505e-05,1.2880718713859096e-09,0.006422957384419191,0.001510156935410123,15.065872688786772,2.84731835090399,-0.19683287151312356,-0.26779249035073605,6,7.609635469503701,139568
moving_held_m32_k16_h0.005,moving_held,32,16,0.005,1.0,0.5,0.02,1.0653759578447224,2.88,0.74,duration_completed,2.9999999999999574,1.0511536335824125,0.01170812886018742,-0.009181460696254362,5.93649179635554,-0.03268634448255306,3.535270740052657,4.420641630531463e-11,1.6431300764452317e-13,2.0010325670227758e-05,1.3612861948786303e-09,0.006627473627480805,0.0014826993042333925,16.74557774316007,2.8483805250436673,-0.13733851493151406,-0.2512012472248699,5,35.36063159722835,140000
