case,s,node,fraction,l,velocity,heat,required_negative_null_plus,required_negative_null_minus,required_before_plus,required_before_minus,fd_error,spline_error,geometry_rho,geometry_p_l,geometry_j_l,geometry_p_omega,reservoir_rho,reservoir_p_l,reservoir_j_l,reservoir_p_omega,endpoint_rho,endpoint_p_l,endpoint_j_l,endpoint_p_omega,remainder_rho,remainder_p_l,remainder_j_l,remainder_p_omega,magnetic,string,buffer,rest_mass,sigma,fast_speed2,extra_enthalpy_at_speed_half,gas_pressure
equilibrated_n64,0.0,0,0.0,-2.1,4.062611865024905e-12,0.24999999999999967,14.35032865905065,14.3509113880257,0.0037921137928360756,0.004374842534749157,1.1680849602343363e-06,8.156199696563587e-06,0.002333737565835256,-0.006417215729627872,-0.0001456821854782704,0.008657957029985196,7.178036414026875,7.168500131347508,5.828440959125138e-11,0.0,0.0,0.0,0.0,0.0,-7.175702676461039,-7.174917347077136,-0.00014568224376267997,0.008657957029985196,7.168523256664604,2.312531709734192e-05,0.009490032045171213,0.007592025636136973,1510.7479558643101,0.9993385140716606,43.00164950794245,0.001138803845420544
equilibrated_n64,0.0,1,0.015625,-2.075,7.190548868858511e-12,0.2500693431968559,11.403385915830842,11.403873760547764,0.003025618584988992,0.003513462974010409,8.476045179747413e-07,6.266481909325376e-06,0.002841817841495997,-0.006127225417215066,-0.00012253020234117716,0.006670137958059636,5.704418260027243,5.69594203738256,8.197484784111953e-11,0.0,-8.535179333010051e-06,-7.331616886359078e-06,-5.691050858228303e-07,3.5079012750955945e-05,-5.701567907006414,-5.702061931182889,-0.00012196117923020217,0.00663505894530868,5.695965397348094,2.3359965534443452e-05,0.008429502713614711,0.006743228093297274,1351.4356874571952,0.9992605933063774,34.16736288137495,0.001011739828150659
equilibrated_n64,0.0,2,0.03125,-2.0500000000000003,1.1149721362387773e-11,0.25279541277083833,9.135894754220171,9.13628783563976,0.002316036877180633,0.0027091178894231836,5.84367000810472e-07,4.634810757369115e-06,0.003271542309311806,-0.005886389320971209,-0.00010197523445382647,0.005076785619546259,4.570551454921706,4.563027262624958,1.0183685774208036e-10,0.0,-5.5071537324446915e-05,-4.7198091033048244e-05,-3.7049813931887997e-06,0.00022417622416252367,-4.5672248410750695,-4.568866453854897,-9.827035489749542e-05,0.004852609395383735,4.563050860438175,2.3597813217786843e-05,0.007476996670311899,0.005968250357634087,1220.557146576295,0.9991813727234926,27.37082816595874,0.0009043500472589986
equilibrated_n64,0.0,3,0.046875,-2.025,1.5281764148929053e-11,0.26835052329185083,7.24872204947259,7.249019048086582,0.0016430378410206997,0.0019400360120196297,3.770827802897572e-07,3.286896232569843e-06,0.003631660485442828,-0.005692041154173044,-8.404121569614999e-05,0.003819823618191601,3.626902969439993,3.620176042413073,1.1074815222779237e-10,0.0,-0.00014486111481558185,-0.00012398262739446932,-9.791672946417515e-06,0.0005859557313032916,-3.6231264478397347,-3.6257441009398517,-7.42496534978847e-05,0.00323386788688831,3.620199881387548,2.383897447545533e-05,0.006679249077968956,0.005266090844220074,1084.014037844023,0.9990783529381915,21.71452003924732,0.0008424427790668031
equilibrated_n64,0.0,4,0.0625,-2.0,1.8664569562056987e-11,0.3031437263147146,5.7003071062711985,5.700511955934857,0.0010282615267423727,0.0012331107649019256,2.2110885572641792e-07,2.2195732860778167e-06,0.003931517468198844,-0.005540222780492233,-6.864490599528539e-05,0.0028431382136737187,2.8526832028643847,2.846595642092821,1.0637458645526358e-10,0.0,-0.00025763611417945864,-0.0002203830522917813,-1.743259645539714e-05,0.0010384844099036055,-2.8484940492820066,-2.8519154818210213,-5.1212415914474705e-05,0.0018046538037701132,2.846619725655328,2.408356250668323e-05,0.0060393936465504795,0.004634480084272716,942.6839488368942,0.998940323186346,17.073678960285417,0.0008276697322111163
equilibrated_n64,0.0,5,0.078125,-1.975,2.0220174078879455e-11,0.34203822262809236,4.44672585885954,4.446850653441527,0.000512034905212127,0.0006368291275858763,1.0958230466269481e-07,1.4092311710380001e-06,0.004180409434054272,-0.005426217005925765,-5.562271202265144e-05,0.002095061062681076,2.2258623767564862,2.220351447377648,8.99032175159125e-11,0.0,-0.000361817046601799,-0.00030955850887069215,-2.4424156429214138e-05,0.0014570009913454235,-2.2213201502758304,-2.2254681058747026,-3.119864549665482e-05,0.0006380600713356526,2.220375779066452,2.433168880498192e-05,0.0054622660012282965,0.004070126997226373,812.9870564952924,0.9987714792366531,13.316792408397484,0.0008098236209196869
equilibrated_n64,0.0,6,0.09375,-1.9500000000000002,1.8555335392498655e-11,0.36517894939104134,3.444373125300064,3.444436950605214,0.00012944336877438492,0.00019326841828833547,3.4546295809689126e-08,8.201522411950286e-07,0.004387110055161066,-0.005345004968658351,-4.4757447286936675e-05,0.0015298226094682594,1.7245825659662601,1.7196611160928477,6.390909669410125e-11,0.0,-0.00042909351537977056,-0.00036744550458615426,-2.8801184908449044e-05,0.0017302629134125337,-1.7197663623957193,-1.7246386755569199,-1.5956326287584324e-05,-0.00020044030394427434,1.7196856995554284,2.4583462580903464e-05,0.0048722829482506485,0.003568970170851231,705.9055140354141,0.9985853837887168,10.313241914384319,0.0007526651718327235
equilibrated_n64,0.0,7,0.109375,-1.925,1.1447341873687832e-11,0.4153755130576828,2.652130959771066,2.652155309642996,0.0,0.0,4.1444224021386367e-08,4.1166509864203407e-07,0.004559562882615446,-0.005291625629604002,-3.580262193996018e-05,0.0011081733930072462,1.3283578991791576,1.3238831632345884,3.0361110172883184e-11,0.0,-0.00044678526431601135,-0.00038320518938804617,-2.9715184318525984e-05,0.001808059801661571,-1.3233515510322262,-1.3287915836748045,-6.087467982544367e-06,-0.0006998864086543248,1.323908002224775,2.4838990186522608e-05,0.004425057964196423,0.0031264197545970134,598.368659997968,0.9983315777638367,7.939022955384453,0.0007387200788411666
equilibrated_n64,0.0,8,0.125,-1.9000000000000001,-5.113071157460653e-12,0.5951168610802896,2.0325735135639333,2.0325756590231827,0.0,0.0,4.8171167388311176e-08,1.4354403641159835e-07,0.004704718005117572,-0.0052614312831419565,-2.850270557802124e-05,0.0007973872025559231,1.0186135151583906,1.014196560476296,-1.0393902566323125e-11,0.0,-0.0004259864374951972,-0.0003662161816575296,-2.7966330371696752e-05,0.001733864060794624,-1.0134828107157778,-1.0190917755777804,-5.363648124219227e-07,-0.0009364768582387009,1.0142216588508393,2.5098374543363693e-05,0.004366757933008311,0.0027375786937960975,464.51929528052864,0.9978518613296202,6.0809631951720275,0.0008835111325403099
equilibrated_n64,0.0,9,0.140625,-1.875,-3.8560365994764785e-11,0.7799235167719684,1.5520817810229748,1.5520703080273186,0.0,0.0,4.897730754554325e-08,2.0478123202802984e-08,0.004828483396093774,-0.0052502466557285835,-2.2608647584884044e-05,0.0005708465746137839,0.7783538425320436,0.7740358672972503,-5.986071537752428e-11,0.0,-0.0003948872864968522,-0.00034054127728515483,-2.5476836638248204e-05,0.0016201946108887744,-0.773130471849453,-0.7789455726756938,2.8682489140795373e-06,-0.0010493480362749905,0.7740612290118253,2.5361714575139664e-05,0.004267251805643027,0.00239743548834167,362.79144717366074,0.9972511723192804,4.640100122265308,0.0009734400202275515
