case,s,node,fraction,l,velocity,heat,required_negative_null_plus,required_negative_null_minus,required_before_plus,required_before_minus,fd_error,spline_error,geometry_rho,geometry_p_l,geometry_j_l,geometry_p_omega,reservoir_rho,reservoir_p_l,reservoir_j_l,reservoir_p_omega,endpoint_rho,endpoint_p_l,endpoint_j_l,endpoint_p_omega,remainder_rho,remainder_p_l,remainder_j_l,remainder_p_omega
prior_thermal_n64,0.0,0,0.0,-2.1,4.062611865024905e-12,0.24999999999999967,0.012647566113042382,0.013230294855099368,0.0037921137928360756,0.004374842534749157,1.1680849602343363e-06,8.156199696563587e-06,0.002333737565835256,-0.006417215729627872,-0.0001456821854782704,0.008657957029985196,0.01110567261065208,-0.0022502202903738216,3.597626566652478e-14,0.0,0.0,0.0,0.0,0.0,-0.008771935044816824,-0.004166995439254051,-0.00014568218551424666,0.008657957029985196
prior_thermal_n64,0.0,1,0.015625,-2.075,7.190548868858511e-12,0.2500693431968559,0.010878125527275012,0.011365969916522283,0.003025618584988992,0.003513462974010409,8.476045179747413e-07,6.266481909325376e-06,0.002841817841495997,-0.006127225417215066,-0.00012253020234117716,0.006670137958059636,0.010139839976786311,-0.0022873330343873626,5.6463834912370356e-14,0.0,-8.535179333010051e-06,-7.331616886359078e-06,-5.691050858228303e-07,3.5079012750955945e-05,-0.007289486955957303,-0.0038325607659413447,-0.00012196109731181817,0.00663505894530868
prior_thermal_n64,0.0,2,0.03125,-2.0500000000000003,1.1149721362387773e-11,0.25279541277083833,0.009271681632754058,0.009664762645306822,0.002316036877180633,0.0027091178894231836,5.84367000810472e-07,4.634810757369115e-06,0.003271542309311806,-0.005886389320971209,-0.00010197523445382647,0.005076785619546259,0.009277689516917197,-0.0023220447611886647,7.75535009221269e-14,0.0,-5.5071537324446915e-05,-4.7198091033048244e-05,-3.7049813931887997e-06,0.00022417622416252367,-0.005951075670280944,-0.0035171464687494963,-9.827025313819117e-05,0.004852609395383735
prior_thermal_n64,0.0,3,0.046875,-2.025,1.5281764148929053e-11,0.26835052329185083,0.007853842485730865,0.008150840657109443,0.0016430378410206997,0.0019400360120196297,3.770827802897572e-07,3.286896232569843e-06,0.003631660485442828,-0.005692041154173044,-8.404121569614999e-05,0.003819823618191601,0.008565619766769002,-0.0023548151218690124,9.491205175843473e-14,0.0,-0.00014486111481558185,-0.00012398262739446932,-9.791672946417515e-06,0.0005859557313032916,-0.004789098166510592,-0.0032132434049095627,-7.424954284464453e-05,0.00323386788688831
prior_thermal_n64,0.0,4,0.0625,-2.0,1.866456956205699e-11,0.3031437263147146,0.006648798585973861,0.006853647824553033,0.0010282615267423727,0.0012331107649019256,2.2110885572641792e-07,2.2195732860778167e-06,0.003931517468198844,-0.005540222780492233,-6.864490599528539e-05,0.0028431382136737187,0.008006597599450577,-0.0023860605400092792,1.0490490492206134e-13,0.0,-0.00025763611417945864,-0.0002203830522917813,-1.743259645539714e-05,0.0010384844099036055,-0.003817444017072274,-0.002933779188191173,-5.1212309644793154e-05,0.0018046538037701132
prior_thermal_n64,0.0,5,0.078125,-1.975,2.0220174078879455e-11,0.34203822262809236,0.005601330097122869,0.005726124319908243,0.000512034905212127,0.0006368291275858763,1.0958230466269481e-07,1.4092311710380001e-06,0.004180409434054272,-0.005426217005925765,-5.562271202265144e-05,0.002095061062681076,0.007505443127309299,-0.0024161479351927444,1.02906434723401e-13,0.0,-0.000361817046601799,-0.00030955850887069215,-2.4424156429214138e-05,0.0014570009913454235,-0.0029632166466532278,-0.002700510561862328,-3.119855569634374e-05,0.0006380600713356526
prior_thermal_n64,0.0,6,0.09375,-1.9500000000000002,1.8555335392498655e-11,0.36517894939104134,0.004670736041017668,0.004734561090868681,0.00012944336877438492,0.00019326841828833547,3.4546295809689126e-08,8.201522411950286e-07,0.004387110055161066,-0.005345004968658351,-4.4757447286936675e-05,0.0015298226094682594,0.006986685559879017,-0.002445392887467202,8.426520865209776e-14,0.0,-0.00042909351537977056,-0.00036744550458615426,-2.8801184908449044e-05,0.0017302629134125337,-0.00217048198933818,-0.002532166576604995,-1.595626246275284e-05,-0.00020044030394427434
prior_thermal_n64,0.0,7,0.109375,-1.925,1.1447341873687836e-11,0.4153755130576828,0.0040219891270100085,0.004046338877684951,0.0,0.0,4.1444224021386367e-08,4.1166509864203407e-07,0.004559562882615446,-0.005291625629604002,-3.580262193996018e-05,0.0011081733930072462,0.006606152867552112,-0.002474061158489131,4.7301466447075e-14,0.0,-0.00044678526431601135,-0.00038320518938804617,-2.9715184318525984e-05,0.001808059801661571,-0.001599804720620655,-0.0024343592817268247,-6.087437668735663e-06,-0.0006998864086543248
prior_thermal_n64,0.0,8,0.125,-1.9000000000000001,-5.113071157460653e-12,0.5951168610802896,0.0038713678973561066,0.003873513398097388,0.0,0.0,4.8171167388311176e-08,1.4354403641159835e-07,0.004704718005117572,-0.0052614312831419565,-2.850270557802124e-05,0.0007973872025559231,0.006610302480578265,-0.0025023724917231753,-2.1004138342882622e-14,0.0,-0.0004259864374951972,-0.0003662161816575296,-2.7966330371696752e-05,0.001733864060794624,-0.0014795980379654957,-0.0023928426097612515,-5.363751853203518e-07,-0.0009364768582387009
prior_thermal_n64,0.0,9,0.140625,-1.875,-3.8560365994764785e-11,0.7799235167719684,0.0037309107749846785,0.0037194380181482653,0.0,0.0,4.897730754554325e-08,2.0478123202802984e-08,0.004828483396093774,-0.0052502466557285835,-2.2608647584884044e-05,0.0005708465746137839,0.00656934543627523,-0.002530505735561561,-1.5573913705370537e-13,0.0,-0.0003948872864968522,-0.00034054127728515483,-2.5476836638248204e-05,0.0016201946108887744,-0.001345974753684604,-0.0023791996428818678,2.8681892091032974e-06,-0.0010493480362749905
