q,bvp_tolerance,analytic_cloud_stiffness_ratio,bvp_cloud_stiffness_ratio,energy_cloud_stiffness_ratio,bvp_absolute_error,energy_absolute_error,bvp_nodes,bvp_maximum_residual,quadrature_error_estimate,seconds,peak_rss_kib
0.02,1e-06,-0.9998692981309633,-0.9999419972173129,-0.9998692981309631,7.269908634965905e-05,1.1102230246251565e-16,362,9.890115683830025e-07,1.6764941586034375e-11,0.014882276766002178,148212
0.02,1e-08,-0.9998692981309633,-0.9998694020640908,-0.9998692981309631,1.0393312754874984e-07,1.1102230246251565e-16,866,9.9420163327923e-09,1.6764941586034375e-11,0.019868459552526474,148396
0.02,1e-10,-0.9998692981309633,-0.9998692983770319,-0.9998692981309631,2.460686099325926e-10,1.1102230246251565e-16,3417,9.99312598254461e-11,1.6764941586034375e-11,0.04067337606102228,155624
0.05,1e-06,-0.999206978588422,-0.9992144011443214,-0.999206978588422,7.4225558993612495e-06,0.0,362,9.948157788202426e-07,2.6088210182850933e-14,0.015468591824173927,148368
0.05,1e-08,-0.999206978588422,-0.999206992767476,-0.999206978588422,1.4179054041996153e-08,0.0,872,9.931648786319443e-09,2.6088210182850933e-14,0.011735048145055771,148368
0.05,1e-10,-0.999206978588422,-0.9992069786395772,-0.999206978588422,5.1155191194141025e-11,0.0,3191,9.99485174920774e-11,2.6088210182850933e-14,0.03283803630620241,155272
0.1,1e-06,-0.9969788519637462,-0.9969801802085951,-0.9969788519637464,1.328244848886051e-06,1.1102230246251565e-16,361,9.953798236157546e-07,1.31371312960263e-13,0.006612063385546207,148368
0.1,1e-08,-0.9969788519637462,-0.9969788554029966,-0.9969788519637464,3.439250328973742e-09,1.1102230246251565e-16,861,9.98718396008485e-09,1.31371312960263e-13,0.011757235042750835,148624
0.1,1e-10,-0.9969788519637462,-0.9969788519772036,-0.9969788519637464,1.345734634838891e-11,1.1102230246251565e-16,3095,9.994982746620283e-11,1.31371312960263e-13,0.02533578034490347,153652
0.2,1e-06,-0.9890109890109888,-0.9890112402437199,-0.9890109890109892,2.512327310633111e-07,3.3306690738754696e-16,358,9.936422228179583e-07,9.844486605337575e-13,0.0058185262605547905,148624
