run,regulator,rho,pr,pt,polarization,tail_rho,tail_pr,tail_pt,tail_polarization,tail_spread_rho,tail_spread_pr,tail_spread_pt,tail_spread_polarization,radial_enthalpy
annulus_192,2.0,-0.015150269746298625,0.015024600977044025,0.015157778667247605,0.026677182326569588,-3.226697324798134e-09,1.0568502554347296e-10,2.936894046289782e-10,-2.2821135361558815e-12,1.2894309540484303e-08,1.4433339384807013e-08,1.5999638901340003e-08,1.1164271285789725e-12,-0.0001256687692545999
annulus_192,4.0,-0.015224743246001869,0.015013830343600433,0.015230593139326837,0.026637336123546487,-1.7073702556836915e-07,3.4668953633370864e-08,-4.215196063938085e-09,-1.4128531395295768e-10,4.184851856028857e-09,4.068592605698362e-09,4.307565963076062e-09,5.9753441136581985e-12,-0.00021091290240143543
annulus_192,8.0,-0.015249219301729419,0.015011929572927673,0.015254096882996126,0.026629878419402217,-9.107811412217501e-06,2.158010485572956e-06,-3.031022381749181e-07,-7.571222685134747e-09,3.593905896990537e-07,1.7644431609355897e-08,4.813938308609025e-08,2.0445279657759394e-09,-0.00023728972880174629
annulus_192,16.0,-0.015225418983570629,0.01501977975521814,0.015258419207579045,0.026628220043737227,-0.00026975991863652905,0.00011703447123963949,-3.335727022895528e-05,-2.8292755607401515e-07,0.00013234511643418951,6.2925978904989645e-06,1.4061592559722576e-05,6.362489674686411e-08,-0.00020563922835248848
annulus_384,8.0,-0.01524917774505302,0.015011504014940256,0.015254200222150781,0.026629875694025095,-6.889725055210093e-07,1.3979724105670972e-07,-1.7202492620341274e-08,-1.432649017314011e-10,2.9156295813078822e-08,1.9847523297401973e-08,4.67703940791371e-08,8.214737273018358e-12,-0.0002376737301127644
annulus_384,16.0,-0.015255231641054356,0.01501310076021025,0.015259304216626177,0.02662824435343751,-3.6756141328856534e-05,8.7133873952497e-06,-1.2101228872224552e-06,-7.677056888878742e-09,1.5234227315070789e-06,9.596714840603568e-08,1.6286679540119768e-07,2.0698163711345357e-09,-0.0002421308808441061
throat_control,2.0,-0.016248380586905347,0.01624891589150763,0.014958652744816581,0.041012128442012005,-2.704768124741379e-08,3.955866530809252e-09,5.346709781288335e-09,-8.327995490774629e-12,5.808900245832219e-09,2.9835946194290584e-08,1.4095440988045126e-08,8.305744247348837e-12,5.353046022837926e-07
throat_control,4.0,-0.0162485754080327,0.016249110140159572,0.014958256883229815,0.04102062393508764,-1.711066428601654e-06,1.9319364297049287e-07,3.878291988153504e-07,-5.027257644574112e-10,5.354380678712557e-09,1.7557150161245604e-08,8.304664526068625e-09,6.203995495551757e-12,5.347321268729666e-07
throat_control,8.0,-0.01624834323919422,0.016249205983609533,0.014958199377289356,0.04102271742494412,-0.00010182741686382117,1.225845301033289e-05,2.427215114685673e-05,-2.9198162276237978e-08,4.252895950481746e-07,3.310346205547453e-08,8.611781257131921e-08,3.6508998642739836e-09,8.627444153148922e-07
ward_left,4.0,-0.015217084797353994,0.015015585329435092,0.015225508888403032,0.026660662984870954,-1.7108875919513845e-07,3.420162839230566e-08,-2.3684373677323102e-09,-1.4098824395407534e-10,1.4173138827078203e-08,1.5928664451889115e-08,1.4065381780668374e-08,7.131365537729681e-12,-0.00020149946791890236
ward_left,8.0,-0.015239757967519564,0.015013885009543596,0.015247256820165488,0.026653763717995136,-9.10078496886355e-06,2.139069425196822e-06,-2.0695260231190813e-07,-7.550750062097118e-09,3.6250894441864494e-07,1.4064998526426192e-08,4.682572883491666e-08,2.061903945510954e-09,-0.00022587295797596788
ward_right,4.0,-0.015232636363524649,0.015012016739728339,0.015235552331746243,0.026613113977995838,-1.705645895490905e-07,3.496173883936428e-08,-5.907684457994327e-09,-1.4163565996906786e-10,2.108710429010213e-09,4.501453355830432e-09,2.9879745059005392e-09,5.7814537596094015e-12,-0.00022061962379630977
