regulator,coordinate,pressure_derivative,lapse_term,angular_term,material_exchange,active,absolute_residual,relative_residual
4.0,-30.00056819452489,2.3327211095010008e-09,-2.81183583302583e-10,-1.6291083927686641e-09,-1.0057597681968726e-14,False,4.224190758320717e-10,0.09955615644285308
4.0,-24.999918036132147,1.0018034439875135e-08,-3.8759954906261764e-11,4.250614751663097e-09,-2.2754857296909675e-12,False,1.422761375090228e-08,0.9942646617740705
4.0,-19.99968547320244,-1.544668831848078e-07,7.231583065936491e-09,1.4769368549272695e-07,-9.918428663131805e-10,False,5.334574924575237e-10,0.001718701678313625
4.0,-19.74896642399511,-1.83821302526202e-07,8.757926408707106e-09,1.7584165518642e-07,-1.332262925861756e-09,False,5.539838569366584e-10,0.0014982532572358459
4.0,-19.50091751509527,-2.186379244877152e-07,1.0583296859369705e-08,2.0907956612150574e-07,-1.7749968947463783e-09,False,7.500584015861301e-10,0.0017043846270052068
4.0,-19.25086523894244,-2.602950511311896e-07,1.2811139594551511e-08,2.491193935161232e-07,-2.3546351871558515e-09,False,7.191532076707487e-10,0.001370911790104308
4.0,-19.00115794827196,-3.0968846786948415e-07,1.5492856810528913e-08,2.967076684247485e-07,-3.0946679178918395e-09,False,5.82610552098559e-10,0.0009322012533019505
4.0,-18.749473561744196,-3.694263680904089e-07,1.8756719432174606e-08,3.5388432790724165e-07,-4.026532848392879e-09,False,8.118535993855022e-10,0.0010881385665425106
4.0,-18.500479526930945,-4.394843180049167e-07,2.2660591222995736e-08,4.214222113832176e-07,-5.137110467009932e-09,False,5.386258657132782e-10,0.0006060800060103675
4.0,-18.249528304757373,-5.239183990203727e-07,2.740519682075842e-08,5.02518759570942e-07,-6.4086179400669384e-09,False,4.0306056873927284e-10,0.0003801558110953083
4.0,-17.99895502055958,-6.244954352870576e-07,3.308597368040383e-08,5.984692687902771e-07,-7.703383648196474e-09,False,6.435764645731775e-10,0.0005092576825092014
