regulator,proper,coordinate,radius,lapse,rho,pr,pt,polarization,radial_enthalpy,radial_enthalpy_tail,required_radial_enthalpy
4.0,-211.61683280784916,-40.00142657373684,39.10373655195122,0.9536368244417588,4.500764402941037e-07,-1.6812283955138597e-08,-1.874833448491529e-07,5.287103122922432e-09,4.3326415633896505e-07,1.1239760597816074e-07,1.4218377756909012e-09
4.0,-201.4069550841561,-30.000700916193274,29.4396866267002,0.937916994551789,4.7085720405324845e-07,1.5217823663682334e-08,-1.425333787617515e-07,6.11690738170155e-10,4.860750277169308e-07,-3.4917055891462026e-07,4.79845410297604e-09
4.0,-190.95208029461537,-20.002231781855663,19.777705779261506,0.9060963026381829,-1.0405717793920994e-06,-2.17610229883015e-07,1.351288516161912e-06,-3.694619959860727e-07,-1.2581820092751145e-06,-1.4407166732495724e-06,4.510942257856501e-07
4.0,-190.41708670184593,-19.501122322738958,19.293455318437434,0.9036336826380195,-1.5297305341403133e-06,-3.1687928451129843e-07,1.8788569977894602e-06,-4.790324164044553e-07,-1.8466098186516117e-06,-1.498550938453413e-06,6.177833214889543e-07
4.0,-189.88209310907652,-19.001365924359078,18.810511380255846,0.9010512640468726,-2.1982010795709576e-06,-4.5726656636827934e-07,2.606723994900022e-06,-6.027834624562204e-07,-2.655467645939237e-06,-1.5542355232220455e-06,8.48655674971216e-07
4.0,-189.34209957618776,-18.49836532063198,18.3244311145534,0.8983164466271789,-3.1176820239493117e-06,-6.582267337186933e-07,3.6163912273848836e-06,-7.208098098220592e-07,-3.775908757668005e-06,-1.6079053963311647e-06,1.1727996407351623e-06
4.0,-188.80710598341835,-18.001487603478036,17.84426620060078,0.8954733785049565,-4.35252025604514e-06,-9.404687881792023e-07,4.983057554467431e-06,-7.75902765353947e-07,-5.292989044224342e-06,-1.65793084910026e-06,1.6207930061579924e-06
4.0,-188.26711245052957,-17.501494517547055,17.361088669486207,0.8924629367845212,-6.0205951580269585e-06,-1.3440335139060022e-06,6.844705752744212e-06,-6.397265725539677e-07,-7.36462867193296e-06,-1.7045738313525768e-06,2.253937438532556e-06
4.0,-187.7221189775215,-16.998471864908005,16.87498073044399,0.8892762732723036,-8.200283102519442e-06,-1.9221338765794136e-06,9.305914889327456e-06,-1.6634162873929827e-08,-1.0122416979098855e-05,-1.74700040678613e-06,3.1553397038658297e-06
4.0,-187.18212544463273,-16.501680501038674,16.394890907152277,0.885969026704419,-1.0818839453173224e-05,-2.7329442436112234e-06,1.2320769788560719e-05,1.6934856787712738e-06,-1.3551783696784447e-05,-1.7831816135252661e-06,4.4215185262082655e-06
