width,angular_index,wave_number,k_radius,k_width,scale_window,normal_frequency_squared,growth_rate,required_bending_coefficient,required_bending_to_sigma_width_squared
0.025,1,0.20797258270192576,1.4142135623730951,0.005199314567548144,False,-0.007543572909574643,0.08685374436128038,0.010323492653868376,6451.678750521176
0.025,2,0.36021907982105555,2.449489742783178,0.009005476995526389,False,-0.02263071872872392,0.15043509806133648,0.0034411642179561267,2150.55958350706
0.025,3,0.5094267081084933,3.4641016151377544,0.012735667702712334,False,-0.04526143745744785,0.21274735593526856,0.0017205821089780627,1075.2797917535295
0.025,4,0.6576670522058206,4.47213595499958,0.016441676305145515,False,-0.07543572909574643,0.2746556554956523,0.0010323492653868376,645.1678750521176
0.025,5,0.8054743492723031,5.477225575051661,0.02013685873180758,False,-0.11315359364361963,0.33638310546699524,0.0006882328435912252,430.1119167014117
0.025,6,0.9530501027070383,6.48074069840786,0.023826252567675957,False,-0.15841503110106747,0.39801385792591126,0.0004915948882794466,307.22279764386553
0.025,7,1.100487466698218,7.483314773547883,0.027512186667455453,False,-0.21122004146809,0.4595868160294527,0.0003686961662095849,230.41709823289915
0.025,8,1.2478354962115543,8.48528137423857,0.03119588740528886,False,-0.27156862474468707,0.5211224661676822,0.0002867636848296772,179.21329862558827
0.025,9,1.3951224971331087,9.486832980505138,0.034878062428327715,False,-0.33946078093085896,0.582632629476636,0.00022941094786374167,143.37063890047057
0.025,10,1.5423659531913994,10.488088481701515,0.038559148829784985,True,-0.4148965100266054,0.644124607530721,0.0001876998664339705,117.30325000947593
0.025,11,1.689577248981773,11.489125293076057,0.04223943122454433,True,-0.4978758120319263,0.7056031547774757,0.00015641655536164208,97.75270834122995
0.025,12,1.8367641171759996,12.489995996796797,0.04591910292939999,True,-0.5883986869468222,0.767071500543999,0.00013235246992138945,82.71383013488688
0.025,13,1.9839319945929474,13.490737563232042,0.04959829986482369,True,-0.6864651347712926,0.8285319153607136,0.0001134449742183338,70.89756868704588
0.025,14,2.1310848156160938,14.491376746189436,0.05327712039040235,True,-0.7920751555053374,0.889986042309281,9.831897765588931e-05,61.44455952877313
0.025,15,2.278225497769069,15.491933384829668,0.05695563744422673,True,-0.9052287491489573,0.9514350998092078,8.602910544890312e-05,53.76398958767646
0.025,16,2.42535625036333,16.492422502470642,0.06063390625908325,True,-1.0259259157021516,1.0128800105156344,7.59080342196204e-05,47.438814342067474
0.025,17,2.5724787771376323,17.4928556845359,0.06431196942844081,True,-1.1541666551649201,1.0743214859458599,6.747380819521817e-05,42.16783497072665
0.025,18,2.7195944130745486,18.49324200890693,0.06798986032686372,True,-1.2899509675372642,1.1357600836168105,6.0371302069405705e-05,37.72911550012384
0.025,19,2.86670421906146,19.493588689617926,0.0716676054765365,True,-1.4332788528191822,1.19719624657747,5.433417186246514e-05,33.95620395011146
0.025,20,3.0138090488116465,20.493901531919196,0.07534522622029116,True,-1.5841503110106747,1.2586303313565403,4.9159488827944656e-05,30.722279764386563
0.025,21,3.1609095970889234,21.494185260204677,0.07902273992722308,True,-1.7425653421117426,1.3200626281020695,4.469044438904058e-05,27.929345240351413
0.025,22,3.3080064350594096,22.494443758403985,0.08270016087648524,True,-1.9085239461223846,1.3814933753450953,4.080431878999359e-05,25.50070652379912
0.025,23,3.4551000366090383,23.49468024894146,0.08637750091522596,True,-2.0820261230426014,1.4429227709903956,3.740395889082746e-05,23.37564764681586
0.025,24,3.602190798210556,24.49489742783178,0.0900547699552639,True,-2.263071872872393,1.504350980613365,3.441164217956126e-05,21.50559583507059
0.025,25,3.7492790541123417,25.495097567963924,0.09373197635280855,True,-2.4516611956117584,1.5657781438031886,3.176459278113347e-05,19.851319232372852
0.025,26,3.896365088085815,26.49528259898354,0.09740912720214538,True,-2.6477940912607,1.6272043790688064,2.9411659982530988e-05,18.38085114108597
0.025,27,4.043449142608094,27.495454169735037,0.10108622856520236,True,-2.851470559819215,1.688629787673786,2.731082712663592e-05,17.067933202436976
0.025,28,4.190531426110296,28.495613697550013,0.10476328565275742,True,-3.062690601287305,1.750054456663365,2.5427321807557577e-05,15.890834360889597
0.025,29,4.337612118750772,29.495762407505246,0.1084403029687693,True,-3.2814542156649686,1.8114784612754766,2.373216702038708e-05,14.831445403496959
0.025,30,4.484691377052031,30.49590136395381,0.11211728442630078,True,-3.507761402952208,1.8729018668772286,2.2201059470684687e-05,13.874577958110057
0.025,31,4.631769337654006,31.49603149604724,0.11579423344135016,True,-3.7416121631490222,1.9343247305323432,2.081349325376689e-05,13.007416835728181
0.025,32,4.778846120374094,32.49615361854384,0.11947115300935236,True,-3.9830064962554115,1.9957471022790967,1.955206942020526e-05,12.219088542653743
0.025,33,4.92592183071889,33.49626844888845,0.12314804576797225,True,-4.231944402271374,2.057169026179272,1.8401947689604955e-05,11.500318628379995
0.025,34,5.072996561958924,34.49637662132068,0.1268249140489731,True,-4.488425881196912,2.1185905411846133,1.7350407821627527e-05,10.843157563901139
0.025,35,5.220070396852603,35.4964786985977,0.13050175992131507,True,-4.7524509330320255,2.18001168185678,1.6386496275981548e-05,10.240759921462184
0.025,36,5.3671434090866645,36.49657518178932,0.1341785852271666,True,-5.024019557776713,2.24143247896891,1.5500739720523087e-05,9.68720533111288
0.025,37,5.514215664486081,37.49666651850535,0.13785539161215205,True,-5.303131755430975,2.3028529600109024,1.4684911314179766e-05,9.17735241894904
0.025,38,5.66128722203534,38.49675310984031,0.1415321805508835,True,-5.589787525994809,2.3642731496159257,1.393183893909363e-05,8.706718961567042
0.025,39,5.808358134744558,39.496835316262995,0.14520895336861395,True,-5.88398686946822,2.4256930699221244,1.3235246992138948e-05,8.271383013488691
0.025,40,5.955428450387232,40.496913462633174,0.1488857112596808,True,-6.1857297858512075,2.48711274088072,1.2589625187644361e-05,7.867900915269726
0.025,41,6.1024982121313025,41.49698784249286,0.15256245530328258,True,-6.495016275143768,2.548532180519557,1.1990119226327965e-05,7.49323896692355
0.025,42,6.249567459081112,42.49705872175156,0.1562391864770278,True,-6.811846337345903,2.609951405169434,1.1432439262312708e-05,7.1447162242759426
0.025,43,6.396636226744572,43.497126341863094,0.15991590566861433,True,-7.136219972457613,2.6713704296592065,1.0912782932207586e-05,6.819956395899763
0.025,44,6.54370454743735,44.49719092257398,0.16359261368593375,True,-7.468137180478896,2.732789267484578,1.0427770357442806e-05,6.516847222748663
0.025,45,6.6907724506337205,45.4972526643093,0.16726931126584302,True,-7.807597961409754,2.79420793095463,9.97438903755399e-06,6.233506039150896
