width,integrated_strength,flavors,eta,v_squared,scalar_self_coupling,optical_cross_coupling,vacuum_self_coupling,yukawa_coupling,localization,fermi_momentum,bulk_fermion_mass,first_transverse_gap,confined_below_continuum,only_zero_branch_filled,quartic_determinant,collective_yukawa_loop_measure,tension_reconstruction_error,gas_reconstruction_error,optical_reconstruction_error
0.025,4.0,1,1.1361631268064102e-07,91.7102214393027,34.89251197717237,0.8723127994293092,0.043615639971465454,8.771430265906757,2.1,69.28203230275507,83.99999999999999,71.55417527999326,True,True,0.760929620048198,0.4872155064617702,0.0,-1.734723475976807e-18,-4.440892098500626e-16
0.025,4.0,4,2.8404078170160256e-08,366.8408857572108,8.723127994293092,0.2180781998573273,0.010903909992866364,4.385715132953378,2.1,69.28203230275507,83.99999999999999,71.55417527999326,True,True,0.04755810125301237,0.4872155064617702,0.0,-1.734723475976807e-18,-4.440892098500626e-16
0.025,4.0,16,7.101019542540064e-09,1467.3635430288432,2.180781998573273,0.05451954996433182,0.002725977498216591,2.192857566476689,2.1,69.28203230275507,83.99999999999999,71.55417527999326,True,True,0.0029723813283132733,0.4872155064617702,0.0,-1.734723475976807e-18,-4.440892098500626e-16
0.025,4.0,64,1.775254885635016e-09,5869.454172115373,0.5451954996433183,0.013629887491082956,0.0006814943745541477,1.0964287832383446,2.1,69.28203230275507,83.99999999999999,71.55417527999326,True,True,0.00018577383301957958,0.4872155064617702,0.0,-1.734723475976807e-18,-4.440892098500626e-16
0.05,2.0,1,9.089305014451282e-07,22.927555359825675,34.89251197717237,0.8723127994293092,0.043615639971465454,8.771430265906757,2.1,34.641016151377535,41.99999999999999,35.77708763999663,True,True,0.760929620048198,0.4872155064617702,0.0,-1.734723475976807e-18,-2.220446049250313e-16
0.05,2.0,4,2.2723262536128205e-07,91.7102214393027,8.723127994293092,0.2180781998573273,0.010903909992866364,4.385715132953378,2.1,34.641016151377535,41.99999999999999,35.77708763999663,True,True,0.04755810125301237,0.4872155064617702,0.0,-1.734723475976807e-18,-2.220446049250313e-16
0.05,2.0,16,5.680815634032051e-08,366.8408857572108,2.180781998573273,0.05451954996433182,0.002725977498216591,2.192857566476689,2.1,34.641016151377535,41.99999999999999,35.77708763999663,True,True,0.0029723813283132733,0.4872155064617702,0.0,-1.734723475976807e-18,-2.220446049250313e-16
0.05,2.0,64,1.4202039085080128e-08,1467.3635430288432,0.5451954996433183,0.013629887491082956,0.0006814943745541477,1.0964287832383446,2.1,34.641016151377535,41.99999999999999,35.77708763999663,True,True,0.00018577383301957958,0.4872155064617702,0.0,-1.734723475976807e-18,-2.220446049250313e-16
0.1,1.0,1,7.2714440115610255e-06,5.731888839956419,34.89251197717237,0.8723127994293092,0.043615639971465454,8.771430265906757,2.1,17.320508075688767,20.999999999999996,17.888543819998315,True,True,0.760929620048198,0.4872155064617702,0.0,-1.734723475976807e-18,-1.1102230246251565e-16
0.1,1.0,4,1.8178610028902564e-06,22.927555359825675,8.723127994293092,0.2180781998573273,0.010903909992866364,4.385715132953378,2.1,17.320508075688767,20.999999999999996,17.888543819998315,True,True,0.04755810125301237,0.4872155064617702,0.0,-1.734723475976807e-18,-1.1102230246251565e-16
0.1,1.0,16,4.544652507225641e-07,91.7102214393027,2.180781998573273,0.05451954996433182,0.002725977498216591,2.192857566476689,2.1,17.320508075688767,20.999999999999996,17.888543819998315,True,True,0.0029723813283132733,0.4872155064617702,0.0,-1.734723475976807e-18,-1.1102230246251565e-16
0.1,1.0,64,1.1361631268064102e-07,366.8408857572108,0.5451954996433183,0.013629887491082956,0.0006814943745541477,1.0964287832383446,2.1,17.320508075688767,20.999999999999996,17.888543819998315,True,True,0.00018577383301957958,0.4872155064617702,0.0,-1.734723475976807e-18,-1.1102230246251565e-16
