scenario,pressure_cap,host_stiffness_control,velocity_step,points,max_action_hessian_error,max_normalized_action_hessian_error,min_radial_kinetic,max_radial_kinetic,min_angular_kinetic,negative_radial_kinetic_points,negative_angular_kinetic_points,positive_definite_kinetic_points,full_material_candidate_pass
zero_preload,0.5,zero,0.04,2049,1.3183898417423734e-16,2.8077759484802307e-15,-0.022219631082293963,-1.338497340405621e-06,-0.00035513327328080715,2049,1162,0,False
zero_preload,0.5,zero,0.02,2049,1.491862189340054e-16,3.2210602087728325e-15,-0.022219631082294033,-1.338497340405268e-06,-0.0003551332732808085,2049,1162,0,False
zero_preload,0.5,zero,0.01,2049,1.734723475976807e-16,3.870573737473945e-15,-0.022219631082293922,-1.338497340405268e-06,-0.00035513327328080786,2049,1162,0,False
zero_preload,0.5,positive,0.04,2049,1.5612511283791264e-16,3.4019713890402463e-15,-0.02221963108229394,-1.338497340405268e-06,-0.00035513327328080715,2049,1162,0,False
zero_preload,0.5,positive,0.02,2049,1.734723475976807e-16,3.9015317008549176e-15,-0.022219631082294033,-1.338497340405268e-06,-0.00035513327328080786,2049,1162,0,False
zero_preload,0.5,positive,0.01,2049,1.5959455978986625e-16,4.197573051191325e-15,-0.022219631082293943,-1.338497340404915e-06,-0.00035513327328080797,2049,1162,0,False
zero_preload,0.5,mixed,0.04,2049,1.5612511283791264e-16,3.4019713890402463e-15,-0.02221963108229394,-1.338497340405268e-06,-0.00035513327328080715,2049,1162,0,False
zero_preload,0.5,mixed,0.02,2049,1.734723475976807e-16,3.9015317008549176e-15,-0.022219631082294033,-1.338497340405268e-06,-0.00035513327328080927,2049,1162,0,False
zero_preload,0.5,mixed,0.01,2049,2.0122792321330962e-16,3.870573737473945e-15,-0.022219631082293943,-1.338497340404915e-06,-0.00035513327328080797,2049,1162,0,False
zero_preload,1.0,zero,0.04,2049,4.163336342344337e-17,1.4322547708912056e-15,-0.02221963108229398,-1.3384973404066267e-06,-0.000355133273280807,2049,1162,0,False
zero_preload,1.0,zero,0.02,2049,4.163336342344337e-17,1.474821354159476e-15,-0.022219631082294005,-1.3384973404066267e-06,-0.00035513327328080786,2049,1162,0,False
zero_preload,1.0,zero,0.01,2049,6.591949208711867e-17,1.5704099871159265e-15,-0.022219631082293956,-1.3384973404066265e-06,-0.0003551332732808073,2049,1162,0,False
zero_preload,1.0,positive,0.04,2049,5.551115123125783e-17,1.5211244164027228e-15,-0.022219631082293977,-1.3384973404066256e-06,-0.000355133273280807,2049,1162,0,False
