channel,stage,region,points,abs_burden,signed_burden,neg_burden,pos_burden,peak_abs,peak_signed,min_signed,fraction_of_global_abs
delta_j_l,catch_rematch,packet_in_support,1259,0.01767956741055833,0.01767956741055833,0.0,0.01767956741055833,2.580641304625458e-05,2.580641304625458e-05,3.826797942562191e-06,0.8229727387639606
delta_j_l,release_shift_fade,packet_in_support,1293,0.002483294756519797,0.002483294756519797,0.0,0.002483294756519797,1.0149914098307017e-05,1.0149914098307017e-05,8.110401575412221e-07,0.11559580839691706
delta_j_l,catch_rematch,core_throat,2815,0.001115712096141597,0.0011157120961359757,2.8106657083863234e-15,0.0011157120961387864,1.1219891906170524e-05,1.1219891906170524e-05,-5.0732191342849065e-17,0.051935696055853436
delta_j_l,release_shift_fade,core_throat,2978,0.00015377935087573948,0.00015377935086134076,7.199362417602458e-15,0.0001537793508685401,7.0127536892848445e-06,7.0127536892848445e-06,-2.949029909160572e-16,0.007158332023439179
delta_j_l,post_release_buffer,packet_in_support,658,2.6270679717358754e-05,2.6270679717358754e-05,0.0,2.6270679717358754e-05,3.3485832380097773e-06,3.3485832380097773e-06,8.47094663650183e-08,0.0012228836110138054
delta_j_l,release_shift_fade,support_edge,3512,2.2047522686289938e-05,2.2047522660000248e-05,1.3144845466067804e-14,2.2047522673145095e-05,6.286431426992208e-06,6.286431426992208e-06,-3.994200803436598e-15,0.0010262983084790066
delta_j_l,post_release_buffer,support_edge,1415,1.0247561373096794e-06,1.0247561285360416e-06,4.386818889424418e-15,1.0247561329228606e-06,1.8560560482872718e-06,1.8560560482872718e-06,-3.800779135865184e-15,4.7701753402816475e-05
delta_j_l,post_release_buffer,core_throat,1909,4.6900936903251334e-07,4.690093588188937e-07,5.106809842240693e-15,4.690093639257035e-07,4.135697311922343e-07,4.135697311922343e-07,-1.2377252001094519e-15,2.1832091022099e-05
delta_j_l,reset_decompression,packet_in_support,341,3.731631433661088e-07,3.731631433661088e-07,0.0,3.731631433661088e-07,1.965325164936249e-07,1.965325164936249e-07,1.2963135082727506e-08,1.737050952493167e-05
delta_j_l,reset_decompression,packet_outer,78,1.2471769253378149e-08,1.2471769253378149e-08,0.0,1.2471769253378149e-08,6.302271304652052e-08,6.302271304652052e-08,1.4591008297426544e-09,5.805530113567767e-07
delta_j_l,reset_decompression,core_throat,1354,8.50821223283428e-09,8.508203616487094e-09,4.3081735931355794e-15,8.508207924660687e-09,5.906332215151189e-08,5.906332215151189e-08,-9.773432063653331e-15,3.9605192596844945e-07
delta_j_l,reset_decompression,support_edge,761,7.773949891433082e-09,7.773944556686083e-09,2.667373498939999e-15,7.77394722405958e-09,4.104226618284468e-08,4.104226618284468e-08,-1.3253287356462806e-14,3.618724759829648e-07
delta_j_l,reset_decompression,outer_quarantine_shell,840,7.155770041038894e-14,6.140765640264216e-14,5.075022003873396e-15,6.648267840651554e-14,4.19140937235607e-12,4.19140937235607e-12,-4.2839429920116245e-14,3.3309659291335e-12
delta_j_l,catch_rematch,support_edge,3528,3.7787086600028636e-14,7.816884000875611e-15,1.4985101299576514e-14,2.2801985300452125e-14,5.4227462211782094e-15,5.4227462211782094e-15,-3.0430573425693774e-15,1.7589651051396646e-12
delta_j_l,catch_rematch,outer_quarantine_shell,2520,3.4402128915770304e-14,-2.857462063995262e-17,1.7215351768205124e-14,1.7186777147565176e-14,1.9434594992345788e-14,1.9434594992345788e-14,-1.9434567887291476e-14,1.6013974547937323e-12
