channel,scope,points,abs_burden,signed_burden,neg_burden,pos_burden,peak_abs,peak_signed,min_signed,fraction_of_global_abs
rho,packet_live,2552,13.51063364241626,13.51063364241626,0.0,13.51063364241626,0.00953223482022904,0.00953223482022904,0.006220129595652285,0.2706023724662915
rho,packet_core,1818,9.680340265341444,9.680340265341444,0.0,9.680340265341444,0.0095284166586798,0.0095284166586798,0.0065822256156705524,0.19388602425414336
rho,packet_edge,1277,6.696296475682215,6.696296475682215,0.0,6.696296475682215,0.00953223482022904,0.00953223482022904,0.006220129595652285,0.1341190769445812
rho,packet_edge_strip,734,3.830293377074814,3.830293377074814,0.0,3.830293377074814,0.00953223482022904,0.00953223482022904,0.006220129595652285,0.07671634821214808
j_l,packet_live,2552,0.17126428368187951,0.1709554790649103,0.000154402308484608,0.17110988137339492,0.003778907191456265,0.003778907191456265,-9.617657335108193e-06,0.07849544340817813
j_l,packet_core,1818,0.12417427533878905,0.12417427533878905,0.0,0.12417427533878905,0.003172684169369105,0.003172684169369105,2.779296000999158e-06,0.056912711705334566
j_l,packet_edge,1277,0.08369022436796418,0.08338141975099497,0.000154402308484608,0.08353582205947957,0.003778907191456265,0.003778907191456265,-9.617657335108193e-06,0.03835768398094974
j_l,packet_edge_strip,734,0.04709000834309046,0.04678120372612125,0.000154402308484608,0.04693560603460586,0.003778907191456265,0.003778907191456265,-9.617657335108193e-06,0.021582731702843555
delta_rho,packet_live,2552,3.99195276812062e-05,-3.856266688836862e-05,3.924109728478741e-05,6.784303964187903e-07,2.012739156306495e-07,4.826527061699282e-09,-2.012739156306495e-07,0.8612918298392503
delta_rho,packet_core,1818,2.7818614018502903e-05,-2.6655070683462086e-05,2.7236842350982493e-05,5.817716675204091e-07,2.0125961071922743e-07,4.3386320959515334e-09,-2.0125961071922743e-07,0.6002061237530207
delta_rho,packet_edge,1277,2.048013018613162e-05,-1.988019578132307e-05,2.0180162983727344e-05,2.9996720240427445e-07,2.012739156306495e-07,4.826527061699282e-09,-2.012739156306495e-07,0.44187318407737186
delta_rho,packet_edge_strip,734,1.2100913662703294e-05,-1.1907596204906533e-05,1.2004254933804914e-05,9.665872889838131e-08,2.012739156306495e-07,4.826527061699282e-09,-2.012739156306495e-07,0.2610857060862295
delta_j_l,packet_live,2552,0.020128066743525203,0.020128066743525203,0.0,0.020128066743525203,2.580641304630149e-05,2.580641304630149e-05,8.110401579250297e-07,0.9385158496583823
delta_j_l,packet_core,1818,0.015304868159192605,0.015304868159192605,0.0,0.015304868159192605,2.580641304630149e-05,2.580641304630149e-05,1.1647012847413284e-06,0.7136234953590233
delta_j_l,packet_edge,1277,0.009293349304888905,0.009293349304888905,0.0,0.009293349304888905,2.5126527961944633e-05,2.5126527961944633e-05,8.110401579250297e-07,0.4333230672466657
delta_j_l,packet_edge_strip,734,0.004823198584332601,0.004823198584332601,0.0,0.004823198584332601,2.35735282855056e-05,2.35735282855056e-05,8.110401579250297e-07,0.22489235429935914
