channel,scope,points,abs_burden,signed_burden,neg_burden,pos_burden,peak_abs,peak_signed,min_signed,fraction_of_global_abs
rho,packet_live,2552,13.51063364241626,13.51063364241626,0.0,13.51063364241626,0.00953223482022904,0.00953223482022904,0.006220129595652282,0.2706023724662915
rho,packet_core,1818,9.680340265341444,9.680340265341444,0.0,9.680340265341444,0.0095284166586798,0.0095284166586798,0.006582225615670552,0.19388602425414336
rho,packet_edge,1277,6.696296475682215,6.696296475682215,0.0,6.696296475682215,0.00953223482022904,0.00953223482022904,0.006220129595652282,0.1341190769445812
rho,packet_edge_strip,734,3.830293377074814,3.830293377074814,0.0,3.830293377074814,0.00953223482022904,0.00953223482022904,0.006220129595652282,0.07671634821214808
j_l,packet_live,2552,0.1712642836818802,0.17095547906491104,0.00015440230848459132,0.17110988137339564,0.0037789071914566363,0.0037789071914566363,-9.61765733509989e-06,0.07849544340817816
j_l,packet_core,1818,0.12417427533878954,0.12417427533878954,0.0,0.12417427533878954,0.003172684169368974,0.003172684169368974,2.779296001000347e-06,0.05691271170533458
j_l,packet_edge,1277,0.08369022436796444,0.08338141975099526,0.00015440230848459132,0.08353582205947988,0.0037789071914566363,0.0037789071914566363,-9.61765733509989e-06,0.03835768398094972
j_l,packet_edge_strip,734,0.0470900083430907,0.04678120372612152,0.00015440230848459132,0.04693560603460611,0.0037789071914566363,0.0037789071914566363,-9.61765733509989e-06,0.021582731702843583
delta_rho,packet_live,2552,3.9919527681177333e-05,-3.856266688834766e-05,3.924109728476249e-05,6.784303964148355e-07,2.0127391563238423e-07,4.826527061699282e-09,-2.0127391563238423e-07,0.8612918297874694
delta_rho,packet_core,1818,2.7818614018482777e-05,-2.6655070683442736e-05,2.723684235096276e-05,5.817716675200203e-07,2.0125961071922743e-07,4.3386320959515334e-09,-2.0125961071922743e-07,0.6002061237169362
delta_rho,packet_edge,1277,2.0480130186113883e-05,-1.9880195781314378e-05,2.018016298371413e-05,2.999672023997533e-07,2.0127391563238423e-07,4.826527061699282e-09,-2.0127391563238423e-07,0.44187318405074333
delta_rho,packet_edge_strip,734,1.2100913662694553e-05,-1.190759620490492e-05,1.2004254933799735e-05,9.665872889481509e-08,2.0127391563238423e-07,4.826527061699282e-09,-2.0127391563238423e-07,0.2610857060705332
delta_j_l,packet_live,2552,0.020128066743525953,0.020128066743525953,0.0,0.020128066743525953,2.580641304625458e-05,2.580641304625458e-05,8.110401575412221e-07,0.9385158496495359
delta_j_l,packet_core,1818,0.015304868159193083,0.015304868159193083,0.0,0.015304868159193083,2.580641304625458e-05,2.580641304625458e-05,1.16470128467671e-06,0.7136234953522925
delta_j_l,packet_edge,1277,0.009293349304889207,0.009293349304889207,0.0,0.009293349304889207,2.5126527961945456e-05,2.5126527961945456e-05,8.110401575412221e-07,0.4333230672425792
delta_j_l,packet_edge_strip,734,0.004823198584332867,0.004823198584332867,0.0,0.004823198584332867,2.3573528285508444e-05,2.3573528285508444e-05,8.110401575412221e-07,0.22489235429724333
